category,Hospitalized (including people in <abbr title="intensive care unit">ICU</abbr>),In <abbr title='intensive care unit'>ICU</abbr>
Thu Apr 02 2020,405,167
Fri Apr 03 2020,462,194
Sat Apr 04 2020,506,196
Sun Apr 05 2020,523,200
Mon Apr 06 2020,589,216
Tue Apr 07 2020,614,233
Wed Apr 08 2020,605,246
Thu Apr 09 2020,632,264
Fri Apr 10 2020,673,260
Sat Apr 11 2020,691,257
Sun Apr 12 2020,738,261
Mon Apr 13 2020,760,263
Tue Apr 14 2020,769,255
Wed Apr 15 2020,795,254
Thu Apr 16 2020,807,248
Fri Apr 17 2020,829,245
Sat Apr 18 2020,828,250
Sun Apr 19 2020,809,247
Mon Apr 20 2020,802,247
Tue Apr 21 2020,859,250
Wed Apr 22 2020,878,243
Thu Apr 23 2020,887,233
Fri Apr 24 2020,910,243
Sat Apr 25 2020,925,245
Sun Apr 26 2020,938,252
Mon Apr 27 2020,945,241
Tue Apr 28 2020,957,239
Wed Apr 29 2020,977,235
Thu Apr 30 2020,999,233
Fri May 01 2020,1017,225
Sat May 02 2020,977,221
Sun May 03 2020,1010,232
Mon May 04 2020,984,225
Tue May 05 2020,1043,223
Wed May 06 2020,1032,219
Thu May 07 2020,1033,220
Fri May 08 2020,1028,213
Sat May 09 2020,1016,203
Sun May 10 2020,961,195
Mon May 11 2020,1027,194
Tue May 12 2020,1025,192
Wed May 13 2020,1018,189
Thu May 14 2020,1026,184
Fri May 15 2020,986,179
Sat May 16 2020,975,180
Sun May 17 2020,934,171
Mon May 18 2020,972,174
Tue May 19 2020,987,167
Wed May 20 2020,991,160
Thu May 21 2020,984,155
Fri May 22 2020,961,153
Sat May 23 2020,912,147
Sun May 24 2020,878,148
Mon May 25 2020,859,148
Tue May 26 2020,848,143
Wed May 27 2020,847,150
Thu May 28 2020,833,137
Fri May 29 2020,826,129
Sat May 30 2020,801,121
Sun May 31 2020,781,118
Mon Jun 01 2020,781,125
Tue Jun 02 2020,801,125
Wed Jun 03 2020,791,127
Thu Jun 04 2020,776,121
Fri Jun 05 2020,749,118
Sat Jun 06 2020,673,117
Sun Jun 07 2020,635,117
Mon Jun 08 2020,603,118
Tue Jun 09 2020,600,116
Wed Jun 10 2020,580,118
Thu Jun 11 2020,538,120
Fri Jun 12 2020,527,114
Sat Jun 13 2020,489,110
Sun Jun 14 2020,438,103
Mon Jun 15 2020,419,104
Tue Jun 16 2020,413,98
Wed Jun 17 2020,383,92
Thu Jun 18 2020,351,84
Fri Jun 19 2020,331,82
Sat Jun 20 2020,333,80
Sun Jun 21 2020,286,86
Mon Jun 22 2020,265,76
Tue Jun 23 2020,288,75
Wed Jun 24 2020,278,73
Thu Jun 25 2020,270,69
Fri Jun 26 2020,256,61
Sat Jun 27 2020,252,54
Sun Jun 28 2020,214,51
Mon Jun 29 2020,232,46
Tue Jun 30 2020,213,42
Wed Jul 01 2020,209,43
Thu Jul 02 2020,119,40
Fri Jul 03 2020,155,40
Sat Jul 04 2020,150,39
Sun Jul 05 2020,139,39
Mon Jul 06 2020,118,36
Tue Jul 07 2020,131,34
Wed Jul 08 2020,123,35
Thu Jul 09 2020,123,31
Fri Jul 10 2020,117,34
Sat Jul 11 2020,128,31
Sun Jul 12 2020,116,29
Mon Jul 13 2020,104,28
Tue Jul 14 2020,137,30
Wed Jul 15 2020,115,31
Thu Jul 16 2020,107,26
Fri Jul 17 2020,108,30
Sat Jul 18 2020,105,33
Sun Jul 19 2020,101,34
Mon Jul 20 2020,115,37
Tue Jul 21 2020,120,36
