Entry ID,Jurisdiction ,Date announced,Date implemented,Intervention category,Intervention type,Intervention summary,"Primary source
(news release or specific resource)",Secondary source,Level,"Indigenous 
population group"
AB001,Alta.,No data,2020-01-01,Case management,Case management — case definition,"Who: Ministry of Health, Government of Alberta
What: Published case definition based on Alta. Notifiable Disease Guidelines where a confirmed case is defined as person with laboratory confirmation of infection based on testing guidelines.
Effective until:",https://open.alberta.ca/dataset/a86d7a85-ce89-4e1c-9ec6-d1179674988f/resource/62fe3e6f-25f5-48b0-bbed-e900d8d83fd4/download/health-guidelines-coronavirus-novel-2020-01.pdf,Not applicable,Provincial/territorial,No
AB002,Alta.,No data,2020-02-06,Case management,Case management — self-isolation,"Who: Government of Alberta
What: Published infosheet with guidance on self-isolation
Effective until:",https://open.alberta.ca/publications/self-isolation-information-sheet ,https://open.alberta.ca/dataset/44e7c639-7bb6-4bb4-9138-1abf5c56a7b8/resource/91cd86ac-7eaf-4376-9f9a-0b600a9af2fa/download/health-self-isolation-information-sheet.pdf,Provincial/territorial,No
AB003,Alta.,2020-03-13,2020-03-13,Case management,Case management — online assessment,"Who: Alberta Health Services
What: Launched a self-assessment online tool
Effective until:",https://myhealth.alberta.ca/Journey/COVID-19/Pages/COVID-Self-Assessment.aspx ,https://globalnews.ca/news/6675698/coronavirus-alberta-online-assessment-tool/,Provincial/territorial,No
AB004,Alta.,2020-03-13,2020-03-13,Distancing,Distancing — gatherings,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: Prohibited gatherings of more than 250 people 
Effective until: 2020-03-17",https://www.alberta.ca/release.cfm?xID=6983858E7C38E-ECE2-9356-73A12A71C38568DB,https://calgaryherald.com/news/local-news/alberta-covid-19-toll-hits-as-nhl-suspends-season-kenney-comes-home/,Provincial/territorial,No
AB005,Alta.,2020-03-15,2020-03-15,Travel,Travel — self-isolation,"Who: Government of Alberta
What: Travellers returning to Alta. from outside Canada are required to self-isolate for 14 days.
Effective until:",https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05,Not applicable,Provincial/territorial,No
AB006,Alta.,2020-03-16,2020-03-16,Health services,Health services — visitors,"Who: Alberta Health Services
What: Restricted long-term care visitor access to 1 visitor only, with visitor screening in place
Effective until:",https://www.albertahealthservices.ca/topics/Page17001.aspx,https://www.alberta.ca/release.cfm?xID=69824F7F2458A-DEF9-DF5F-5D30179FC782386D,Provincial/territorial,No
AB007,Alta.,2020-03-15,2020-03-16,Health services,Health services — visitors,"Who: Government of Alberta, Alberta Health Services, Premier, Chief Medical Officer of Health
What: Recommended restriction to only essential visitors for long-term care facilities
Effective until:",https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05,https://www.albertahealthservices.ca/topics/Page17001.aspx,Provincial/territorial,No
AB008,Alta.,No data,2020-03-16,Case management,Case management — self-isolation,"Who: Government of Alberta
What: Published guidance on self-isolation for travellers, contacts of known cases and other suspected COVID-19 cases
Effective until:",https://www.albertahealthservices.ca/topics/Page16997.aspx#social ,Not applicable,Provincial/territorial,No
AB009,Alta.,2020-03-27,2020-03-27,Distancing,Distancing — gatherings,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: Prohibited gatherings of more than 15 people. 
Effective until: ",https://www.alberta.ca/release.cfm?xID=6994336FBE6D7-E5F7-ABFB-C080199224348CCC,https://www.alberta.ca/restrictions-on-gatherings-and-businesses.aspx#p25583s4,Provincial/territorial,No
AB010,Alta.,2020-03-27,2020-03-27,Closures,Closures — non-essential services,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: Ordered closures of ""close contact"" businesses and sit-down restaurants, cafes, coffee shops, food courts and other facilities. Takeout permitted. Bars continue to be closed.
Effective until: ",https://www.alberta.ca/release.cfm?xID=6994336FBE6D7-E5F7-ABFB-C080199224348CCC,https://www.alberta.ca/essential-services.aspx,Provincial/territorial,No
AB011,Alta.,2020-03-27,2020-03-27,Health services,Health services — delayed medical procedures ,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: All non-urgent scheduled and elective diagnostic imaging procedures postponed. Urgent and emergent care outpatient CT and MRI procedures continue.
Effective until:",https://www.alberta.ca/release.cfm?xID=6994336FBE6D7-E5F7-ABFB-C080199224348CCC,Not applicable,Provincial/territorial,No
