category,Total tests processed,Percent confirmed positive results
Sun Apr 19 2020,9643,8.5
Mon Apr 20 2020,8743,7.1
Tue Apr 21 2020,9330,7.7
Wed Apr 22 2020,10361,8.1
Thu Apr 23 2020,10214,7.3
Fri Apr 24 2020,12295,5
Sat Apr 25 2020,10578,5.7
Sun Apr 26 2020,12020,7.1
Mon Apr 27 2020,12550,6
Tue Apr 28 2020,10852,5.7
Wed Apr 29 2020,11554,5.2
Thu Apr 30 2020,12928,4.5
Fri May 01 2020,16532,4.9
Sat May 02 2020,16305,4.6
Sun May 03 2020,17146,4.7
Mon May 04 2020,14555,5.4
Tue May 05 2020,10654,5
Wed May 06 2020,12961,4.1
Thu May 07 2020,15179,3.5
Fri May 08 2020,16295,3.2
Sat May 09 2020,19227,3.2
Sun May 10 2020,17618,3.7
Mon May 11 2020,13970,3.1
Tue May 12 2020,11957,4.7
Wed May 13 2020,15137,3.7
Thu May 14 2020,17429,3.5
Fri May 15 2020,18354,4.1
Sat May 16 2020,17768,5.4
Sun May 17 2020,16217,7.8
Mon May 18 2020,9155,8
Tue May 19 2020,5813,6
Wed May 20 2020,7382,6.8
Thu May 21 2020,10506,5.8
Fri May 22 2020,11276,5.5
Sat May 23 2020,11028,5.1
Sun May 24 2020,11383,6.4
Mon May 25 2020,8170,5
Tue May 26 2020,9875,3.5
Wed May 27 2020,15133,3
Thu May 28 2020,17615,3.3
Fri May 29 2020,18525,2.8
Sat May 30 2020,20640,3.4
Sun May 31 2020,17014,3.4
Mon Jun 01 2020,14379,3.1
Tue Jun 02 2020,15244,3.8
Wed Jun 03 2020,17537,2.1
Thu Jun 04 2020,20822,2.1
Fri Jun 05 2020,22730,1.8
Sat Jun 06 2020,23105,2
Sun Jun 07 2020,19374,2.1
Mon Jun 08 2020,15357,2.6
Tue Jun 09 2020,13509,1.5
Wed Jun 10 2020,19941,1.6
Thu Jun 11 2020,24341,1.6
Fri Jun 12 2020,28335,1.4
Sat Jun 13 2020,27456,1
Sun Jun 14 2020,23278,1.3
Mon Jun 15 2020,21751,1.3
Tue Jun 16 2020,21724,1.2
Wed Jun 17 2020,24205,1.1
Thu Jun 18 2020,25278,1.1
Fri Jun 19 2020,27225,1.1
Sat Jun 20 2020,27387,1.1
Sun Jun 21 2020,23408,1.4
Mon Jun 22 2020,21900,1.8
Tue Jun 23 2020,16189,1.3
Wed Jun 24 2020,23207,1.3
Thu Jun 25 2020,27511,0.9
Fri Jun 26 2020,30780,1.1
Sat Jun 27 2020,33492,1.4
Sun Jun 28 2020,28633,1
Mon Jun 29 2020,27127,1
Tue Jun 30 2020,23759,1
Wed Jul 01 2020,26056,0.8
Thu Jul 02 2020,24322,0.8
Fri Jul 03 2020,24194,0.8
Sat Jul 04 2020,21425,1
Sun Jul 05 2020,23792,0.9
Mon Jul 06 2020,17303,0.8
Tue Jul 07 2020,15112,0.9
Wed Jul 08 2020,22832,0.9
Thu Jul 09 2020,26326,0.8
Fri Jul 10 2020,27484,0.7
Sat Jul 11 2020,29522,0.7
Sun Jul 12 2020,25726,0.8
Mon Jul 13 2020,20896,0.8
Tue Jul 14 2020,16744,0.7
Wed Jul 15 2020,23769,0.8
Thu Jul 16 2020,26492,0.9
Fri Jul 17 2020,31163,0.7
Sat Jul 18 2020,28849,0.7
Sun Jul 19 2020,26890,1
Mon Jul 20 2020,20913,1
Tue Jul 21 2020,22974,0.9
Wed Jul 22 2020,23990,0.7
Thu Jul 23 2020,26001,0.8
Fri Jul 24 2020,28809,0.9
Sat Jul 25 2020,29904,0.6
Sun Jul 26 2020,26144,0.6
Mon Jul 27 2020,24664,0.7
Tue Jul 28 2020,17334,0.7
Wed Jul 29 2020,27308,0.7
Thu Jul 30 2020,27676,0.6
Fri Jul 31 2020,30033,0.5
Sat Aug 01 2020,33282,0.6
Sun Aug 02 2020,30443,0.4
Mon Aug 03 2020,23021,0.5
Tue Aug 04 2020,19169,0.7
Wed Aug 05 2020,17229,0.6
Thu Aug 06 2020,26181,0.5
Fri Aug 07 2020,25136,0.6
Sat Aug 08 2020,26008,0.4
Sun Aug 09 2020,27771,0.5
Mon Aug 10 2020,22275,0.5
Tue Aug 11 2020,21581,0.4
Wed Aug 12 2020,24572,0.5
